,Average Temperature,Historic Low Temp,Average High Temp,Average Low Temp,Historic High Temp,State_x,City,CityFIPS,State_y,Place,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate,Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,PopulationCount,GeoLocation,CategoryID,MeasureId,Short_Question_Text,Count_of_Individuals
280,78.0,28.0,97.0,53.0,120.0,Arizona,Glendale,427820.0,04,27820,"Glendale city, Arizona",230047.0,32.8,47474.0,22071.0,46571.0,20.2441240268293,6.077888431494434,2016.0,AZ,Arizona,Glendale,City,BRFSS,Prevention,0427820,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,17.7,17.3,18.0,226721.0,"(33.5796123089, -112.225306421)",PREVENT,ACCESS2,Health Insurance,40129.617
308,76.0,25.0,96.0,53.0,117.0,Arizona,Mesa,446000.0,04,46000,"Mesa city, Arizona",447002.0,35.6,48547.0,24155.0,69449.0,15.536619522955155,4.708703764188974,2016.0,AZ,Arizona,Mesa,City,BRFSS,Prevention,0446000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,14.7,14.5,15.0,439041.0,"(33.4022837359, -111.718721181)",PREVENT,ACCESS2,Health Insurance,64539.026999999995
336,78.0,28.0,97.0,53.0,120.0,Arizona,Peoria,454050.0,04,54050,"Peoria city, Arizona",157152.0,38.5,62013.0,28751.0,15451.0,9.831882508654042,4.172393606190186,2016.0,AZ,Arizona,Peoria,City,BRFSS,Prevention,0454050,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,11.5,11.2,11.8,154065.0,"(33.7847206422, -112.298680584)",PREVENT,ACCESS2,Health Insurance,17717.475000000002
364,74.0,25.0,94.0,53.0,117.0,Arizona,Phoenix,455000.0,04,55000,"Phoenix city, Arizona",1473639.0,32.6,47139.0,23812.0,331487.0,22.494450811901693,5.249861058237466,2016.0,AZ,Arizona,Phoenix,City,BRFSS,Prevention,0455000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,18.9,18.7,19.0,1445632.0,"(33.5724138695, -112.088995222)",PREVENT,ACCESS2,Health Insurance,273224.448
392,76.0,27.0,95.0,54.0,118.0,Arizona,Scottsdale,465000.0,04,65000,"Scottsdale city, Arizona",221283.0,45.4,72154.0,50531.0,19235.0,8.692488803929809,3.5113406813898944,2016.0,AZ,Arizona,Scottsdale,City,BRFSS,Prevention,0465000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.1,7.8,8.3,217385.0,"(33.6872493651, -111.865085877)",PREVENT,ACCESS2,Health Insurance,17608.185
420,75.0,25.0,95.0,52.0,118.0,Arizona,Surprise,471510.0,04,71510,"Surprise city, Arizona",118784.0,37.0,58455.0,24612.0,10910.0,9.184738685344827,4.037580818965517,2016.0,AZ,Arizona,Surprise,City,BRFSS,Prevention,0471510,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,12.1,11.6,12.5,117517.0,"(33.6803835177, -112.452218439)",PREVENT,ACCESS2,Health Insurance,14219.556999999999
448,78.0,30.0,97.0,56.0,119.0,Arizona,Tempe,473000.0,04,73000,"Tempe city, Arizona",164742.0,28.3,47941.0,26227.0,34433.0,20.901166672736764,5.594808852630173,2016.0,AZ,Arizona,Tempe,City,BRFSS,Prevention,0473000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,12.0,11.6,12.3,161719.0,"(33.3882640307, -111.931802302)",PREVENT,ACCESS2,Health Insurance,19406.28
476,71.0,17.0,93.0,48.0,113.0,Arizona,Tucson,477000.0,04,77000,"Tucson city, Arizona",523278.0,33.0,37032.0,20314.0,126367.0,24.14911385535031,6.0084696853297865,2016.0,AZ,Arizona,Tucson,City,BRFSS,Prevention,0477000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,18.1,17.8,18.4,520116.0,"(32.1567244483, -110.877085494)",PREVENT,ACCESS2,Health Insurance,94140.99600000001
504,76.0,28.0,99.0,51.0,118.0,Arizona,Yuma,485540.0,04,85540,"Yuma city, Arizona",92492.0,30.2,44220.0,20617.0,14487.0,15.662976257406045,5.108549928642478,2016.0,AZ,Arizona,Yuma,City,BRFSS,Prevention,0485540,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,21.6,20.7,22.3,93064.0,"(32.5986027117, -114.54836837)",PREVENT,ACCESS2,Health Insurance,20101.824000000004
532,56.0,-18.0,80.0,33.0,106.0,Arkansas,Fayetteville,523290.0,05,23290,"Fayetteville city, Arkansas",75602.0,27.6,36314.0,25503.0,17687.0,23.394883733234572,4.388772783788789,2016.0,AR,Arkansas,Fayetteville,City,BRFSS,Prevention,0523290,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.9,9.3,10.5,73580.0,"(36.0712117312, -94.1659600436)",PREVENT,ACCESS2,Health Insurance,7284.42
560,62.0,3.0,86.0,40.0,113.0,Arkansas,Fort Smith,524550.0,05,24550,"Fort Smith city, Arkansas",86924.0,35.3,36618.0,22704.0,21323.0,24.530624453545627,3.1372233215222494,2016.0,AR,Arkansas,Fort Smith,City,BRFSS,Prevention,0524550,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,16.2,15.7,16.7,86209.0,"(35.3491692636, -94.3696317306)",PREVENT,ACCESS2,Health Insurance,13965.858
588,59.0,5.0,82.0,39.0,104.0,Arkansas,Jonesboro,535710.0,05,35710,"Jonesboro city, Arkansas",69049.0,30.9,40046.0,24007.0,15945.0,23.09229677475416,5.015279004764732,2016.0,AR,Arkansas,Jonesboro,City,BRFSS,Prevention,0535710,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,11.6,11.1,12.2,67263.0,"(35.8208121538, -90.6794991686)",PREVENT,ACCESS2,Health Insurance,7802.508
616,62.0,10.0,84.0,42.0,108.0,Arkansas,Little Rock,541000.0,05,41000,"Little Rock city, Arkansas",195092.0,35.3,44896.0,29294.0,35766.0,18.332889098476617,5.081705041723905,2016.0,AR,Arkansas,Little Rock,City,BRFSS,Prevention,0541000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,12.0,11.7,12.3,193524.0,"(34.7253957894, -92.3583751863)",PREVENT,ACCESS2,Health Insurance,23222.879999999997
644,61.0,-4.0,83.0,35.0,109.0,Arkansas,Springdale,566080.0,05,66080,"Springdale city, Arkansas",72070.0,29.4,41281.0,18390.0,16901.0,23.450811710836685,3.6658803940613294,2016.0,AR,Arkansas,Springdale,City,BRFSS,Prevention,0566080,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,18.8,17.9,19.8,69797.0,"(36.1869932598, -94.1536274531)",PREVENT,ACCESS2,Health Insurance,13121.836
672,58.0,30.0,78.0,45.0,101.0,California,Alameda,600562.0,06,00562,"Alameda city, California",74818.0,40.6,74606.0,41340.0,7592.0,10.147290758908284,4.9119195915421425,2016.0,CA,California,Alameda,City,BRFSS,Prevention,0600562,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.7,7.4,8.0,73812.0,"(37.7650849031, -122.266489842)",PREVENT,ACCESS2,Health Insurance,5683.524
700,65.0,36.0,86.0,52.0,112.0,California,Alhambra,600884.0,06,00884,"Alhambra city, California",83799.0,39.8,54148.0,25703.0,11565.0,13.800880678767049,4.071647633026647,2016.0,CA,California,Alhambra,City,BRFSS,Prevention,0600884,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.4,12.8,13.9,83089.0,"(34.0839734383, -118.135514119)",PREVENT,ACCESS2,Health Insurance,11133.926000000001
728,66.0,32.0,90.0,51.0,111.0,California,Anaheim,602000.0,06,02000,"Anaheim city, California",340081.0,32.8,59165.0,23400.0,54093.0,15.905916531649813,6.0591447331665105,2016.0,CA,California,Anaheim,City,BRFSS,Prevention,0602000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,16.9,16.5,17.3,336265.0,"(33.8389076996, -117.857613481)",PREVENT,ACCESS2,Health Insurance,56828.784999999996
756,60.0,24.0,86.0,42.0,109.0,California,Antioch,602252.0,06,02252,"Antioch city, California",104035.0,33.8,65254.0,24678.0,15335.0,14.74023165280915,6.964002499158937,2016.0,CA,California,Antioch,City,BRFSS,Prevention,0602252,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,12.8,12.3,13.2,102372.0,"(37.9777042922, -121.796606971)",PREVENT,ACCESS2,Health Insurance,13103.616
784,65.0,12.0,89.0,40.0,114.0,California,Apple Valley,602364.0,06,02364,"Apple Valley town, California",69785.0,36.6,48432.0,22941.0,13990.0,20.04728809916171,6.297915024718779,2016.0,CA,California,Apple Valley,City,BRFSS,Prevention,0602364,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.6,13.0,14.2,69135.0,"(34.5315984948, -117.211012664)",PREVENT,ACCESS2,Health Insurance,9402.36
812,69.0,25.0,91.0,47.0,111.0,California,Bakersfield,603526.0,06,03526,"Bakersfield city, California",352918.0,30.1,56204.0,23316.0,71445.0,20.244079361211387,5.739010195002805,2016.0,CA,California,Bakersfield,City,BRFSS,Prevention,0603526,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,16.3,15.9,16.6,347483.0,"(35.3513302855, -119.029786003)",PREVENT,ACCESS2,Health Insurance,56639.729
840,65.0,36.0,86.0,52.0,112.0,California,Baldwin Park,603666.0,06,03666,"Baldwin Park city, California",75933.0,31.0,51153.0,15314.0,13164.0,17.336335980403778,7.177380058735991,2016.0,CA,California,Baldwin Park,City,BRFSS,Prevention,0603666,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,22.5,21.5,23.6,75390.0,"(34.082871519, -117.972100918)",PREVENT,ACCESS2,Health Insurance,16962.75
868,65.0,35.0,88.0,51.0,109.0,California,Bellflower,604982.0,06,04982,"Bellflower city, California",76989.0,32.0,49637.0,20397.0,13075.0,16.982945615607424,5.170868565639247,2016.0,CA,California,Bellflower,City,BRFSS,Prevention,0604982,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,16.7,16.1,17.3,76616.0,"(33.8880417923, -118.127100236)",PREVENT,ACCESS2,Health Insurance,12794.872
896,58.0,30.0,78.0,45.0,101.0,California,Berkeley,606000.0,06,06000,"Berkeley city, California",114037.0,31.8,63312.0,41308.0,19464.0,17.068144549576015,4.466971246174487,2016.0,CA,California,Berkeley,City,BRFSS,Prevention,0606000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.1,6.8,7.3,112580.0,"(37.8725678765, -122.274907975)",PREVENT,ACCESS2,Health Insurance,7993.179999999999
924,66.0,32.0,90.0,51.0,111.0,California,Buena Park,608786.0,06,08786,"Buena Park city, California",81522.0,35.5,66371.0,23623.0,9746.0,11.955055077157086,4.017320477907804,2016.0,CA,California,Buena Park,City,BRFSS,Prevention,0608786,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,14.2,13.4,14.9,80530.0,"(33.8572126844, -118.004517591)",PREVENT,ACCESS2,Health Insurance,11435.259999999998
952,66.0,31.0,90.0,49.0,112.0,California,Burbank,608954.0,06,08954,"Burbank city, California",103850.0,38.6,66240.0,33663.0,9710.0,9.350024073182475,5.3220991815117955,2016.0,CA,California,Burbank,City,BRFSS,Prevention,0608954,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.6,9.2,10.0,103340.0,"(34.1879799605, -118.323429032)",PREVENT,ACCESS2,Health Insurance,9920.64
980,63.0,32.0,80.0,52.0,103.0,California,Carlsbad,611194.0,06,11194,"Carlsbad city, California",107307.0,41.1,83908.0,43441.0,11358.0,10.584584416673655,4.479670478160791,2016.0,CA,California,Carlsbad,City,BRFSS,Prevention,0611194,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.5,6.1,6.8,105328.0,"(33.1248051026, -117.282903303)",PREVENT,ACCESS2,Health Insurance,6846.320000000001
1008,65.0,35.0,88.0,51.0,109.0,California,Carson,611530.0,06,11530,"Carson city, California",91994.0,37.3,72235.0,23762.0,9142.0,9.937604626388678,7.632019479531274,2016.0,CA,California,Carson,City,BRFSS,Prevention,0611530,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,14.4,13.8,15.0,91714.0,"(33.8374083001, -118.255936422)",PREVENT,ACCESS2,Health Insurance,13206.816
1036,65.0,19.0,85.0,44.0,111.0,California,Chico,613014.0,06,13014,"Chico city, California",86833.0,29.3,43372.0,24221.0,19368.0,22.304884087846787,6.328239263874334,2016.0,CA,California,Chico,City,BRFSS,Prevention,0613014,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.4,9.0,9.8,86187.0,"(39.7568503668, -121.815983972)",PREVENT,ACCESS2,Health Insurance,8101.578
1064,65.0,23.0,92.0,45.0,115.0,California,Chino,613210.0,06,13210,"Chino city, California",79342.0,34.0,71466.0,23866.0,7134.0,8.99145471503113,5.374202818179526,2016.0,CA,California,Chino,City,BRFSS,Prevention,0613210,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,14.9,14.1,15.6,77983.0,"(33.983588126, -117.665296584)",PREVENT,ACCESS2,Health Insurance,11619.466999999999
1092,65.0,23.0,92.0,45.0,115.0,California,Chino Hills,613214.0,06,13214,"Chino Hills city, California",75551.0,36.7,96497.0,34955.0,4603.0,6.0925732286799645,5.937710950219057,2016.0,CA,California,Chino Hills,City,BRFSS,Prevention,0613214,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.9,8.4,9.5,74799.0,"(33.950774546, -117.725326968)",PREVENT,ACCESS2,Health Insurance,6657.111000000001
1120,62.0,30.0,84.0,47.0,106.0,California,Chula Vista,613392.0,06,13392,"Chula Vista city, California",248048.0,33.7,64801.0,25104.0,29118.0,11.73885699542024,6.011739663290976,2016.0,CA,California,Chula Vista,City,BRFSS,Prevention,0613392,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.3,14.8,15.7,243916.0,"(32.6282964262, -117.010042407)",PREVENT,ACCESS2,Health Insurance,37319.148
1148,63.0,23.0,86.0,42.0,108.0,California,Citrus Heights,613588.0,06,13588,"Citrus Heights city, California",84218.0,37.0,52183.0,25023.0,12322.0,14.631076491961338,7.702628891685863,2016.0,CA,California,Citrus Heights,City,BRFSS,Prevention,0613588,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.1,9.7,10.5,83301.0,"(38.6947788342, -121.287991502)",PREVENT,ACCESS2,Health Insurance,8413.401
1176,68.0,27.0,90.0,47.0,112.0,California,Clovis,614218.0,06,14218,"Clovis city, California",97100.0,33.9,65260.0,27906.0,12711.0,13.090628218331616,5.543769309989702,2016.0,CA,California,Clovis,City,BRFSS,Prevention,0614218,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.5,10.1,10.8,95631.0,"(36.8289400179, -119.68665285)",PREVENT,ACCESS2,Health Insurance,10041.255
1204,65.0,35.0,88.0,51.0,109.0,California,Compton,615044.0,06,15044,"Compton city, California",97040.0,27.6,42953.0,13548.0,25343.0,26.11603462489695,7.471145919208574,2016.0,CA,California,Compton,City,BRFSS,Prevention,0615044,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,24.0,23.2,24.8,96455.0,"(33.892965693, -118.227506568)",PREVENT,ACCESS2,Health Insurance,23149.2
1232,58.0,30.0,78.0,45.0,101.0,California,Concord,616000.0,06,16000,"Concord city, California",123658.0,37.1,65798.0,31359.0,14827.0,11.990328163159683,6.052176163289071,2016.0,CA,California,Concord,City,BRFSS,Prevention,0616000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,11.9,11.3,12.4,122067.0,"(37.9721810307, -122.001588036)",PREVENT,ACCESS2,Health Insurance,14525.973000000002
1260,63.0,20.0,92.0,38.0,110.0,California,Corona,616350.0,06,16350,"Corona city, California",155227.0,32.6,77123.0,26832.0,16722.0,10.772610435040296,5.933890367010894,2016.0,CA,California,Corona,City,BRFSS,Prevention,0616350,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.7,13.2,14.1,152374.0,"(33.8623571787, -117.564224471)",PREVENT,ACCESS2,Health Insurance,20875.237999999998
1288,65.0,35.0,85.0,53.0,107.0,California,Costa Mesa,616532.0,06,16532,"Costa Mesa city, California",110871.0,33.8,65830.0,34100.0,16548.0,14.92545390589063,5.723769064949356,2016.0,CA,California,Costa Mesa,City,BRFSS,Prevention,0616532,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,12.2,11.7,12.8,109960.0,"(33.6667651353, -117.91350475)",PREVENT,ACCESS2,Health Insurance,13415.119999999999
1316,58.0,34.0,78.0,47.0,98.0,California,Daly City,617918.0,06,17918,"Daly City city, California",102605.0,38.6,74436.0,28827.0,8777.0,8.554164027094195,5.664441304030018,2016.0,CA,California,Daly City,City,BRFSS,Prevention,0617918,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.7,10.1,11.1,101123.0,"(37.6861552276, -122.468298024)",PREVENT,ACCESS2,Health Insurance,10820.161
1344,65.0,35.0,88.0,51.0,109.0,California,Downey,619766.0,06,19766,"Downey city, California",112334.0,34.0,60939.0,23055.0,13178.0,11.731087649331458,5.2370609076504,2016.0,CA,California,Downey,City,BRFSS,Prevention,0619766,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,17.6,16.8,18.4,111772.0,"(33.937867256, -118.131150116)",PREVENT,ACCESS2,Health Insurance,19671.872000000003
1372,65.0,30.0,90.0,47.0,113.0,California,El Cajon,621712.0,06,21712,"El Cajon city, California",100590.0,32.4,44112.0,19803.0,26152.0,25.998608211551844,6.641813301521026,2016.0,CA,California,El Cajon,City,BRFSS,Prevention,0621712,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,14.1,13.7,14.6,99478.0,"(32.8016581921, -116.960483614)",PREVENT,ACCESS2,Health Insurance,14026.398
1400,62.0,22.0,87.0,43.0,109.0,California,Elk Grove,622020.0,06,22020,"Elk Grove city, California",155350.0,33.8,77791.0,28898.0,14711.0,9.469584808496942,5.3685226906984225,2016.0,CA,California,Elk Grove,City,BRFSS,Prevention,0622020,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.2,9.0,9.5,153015.0,"(38.4159992006, -121.384137762)",PREVENT,ACCESS2,Health Insurance,14077.38
1428,65.0,36.0,86.0,52.0,112.0,California,El Monte,622230.0,06,22230,"El Monte city, California",114412.0,33.5,39535.0,14735.0,27574.0,24.10061881620809,6.5517603048631265,2016.0,CA,California,El Monte,City,BRFSS,Prevention,0622230,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,24.2,23.5,25.0,113475.0,"(34.073919653, -118.029071951)",PREVENT,ACCESS2,Health Insurance,27460.95
1456,63.0,32.0,80.0,52.0,103.0,California,Escondido,622804.0,06,22804,"Escondido city, California",145859.0,32.7,49362.0,21653.0,26931.0,18.463721813532246,4.762818886733077,2016.0,CA,California,Escondido,City,BRFSS,Prevention,0622804,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,17.1,16.5,17.6,143911.0,"(33.1346952955, -117.072122618)",PREVENT,ACCESS2,Health Insurance,24608.781000000003
1484,60.0,18.0,86.0,41.0,109.0,California,Fairfield,623182.0,06,23182,"Fairfield city, California",106533.0,33.0,64702.0,26611.0,14048.0,13.186524363342814,5.2631578947368425,2016.0,CA,California,Fairfield,City,BRFSS,Prevention,0623182,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,12.5,12.2,12.9,105321.0,"(38.2558446343, -122.039303253)",PREVENT,ACCESS2,Health Insurance,13165.125
1512,62.0,19.0,86.0,40.0,109.0,California,Folsom,624638.0,06,24638,"Folsom city, California",72424.0,37.7,98359.0,37821.0,2973.0,4.104992820059649,4.462609079863029,2016.0,CA,California,Folsom,City,BRFSS,Prevention,0624638,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.7,7.2,8.2,72203.0,"(38.6750494328, -121.147605753)",PREVENT,ACCESS2,Health Insurance,5559.631
1540,66.0,28.0,91.0,48.0,112.0,California,Fontana,624680.0,06,24680,"Fontana city, California",198692.0,29.1,64354.0,19299.0,30547.0,15.374046262557124,7.598192176836511,2016.0,CA,California,Fontana,City,BRFSS,Prevention,0624680,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,18.9,18.4,19.5,196069.0,"(34.0974227833, -117.459241285)",PREVENT,ACCESS2,Health Insurance,37057.041
1568,60.0,1.0,81.0,46.0,105.0,California,Fremont,626000.0,06,26000,"Fremont city, California",218172.0,37.3,101535.0,40190.0,13088.0,5.998936618814513,4.275067378032012,2016.0,CA,California,Fremont,City,BRFSS,Prevention,0626000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.7,7.5,8.0,214089.0,"(37.5278685405, -121.984121512)",PREVENT,ACCESS2,Health Insurance,16484.853
